frame_idx,marker_id,x,y,z,timestamp
0,0,-3.0046,-1.1821,6.5565,0.0
0,0,-3.2617,0.3789,6.5441,0.0
0,0,-3.2544,0.6652,6.5706,0.0
0,0,-3.0555,0.8882,6.7333,0.0
0,0,-3.219,1.0014,6.5115,0.0
0,0,-2.9836,1.0951,6.6205,0.0
0,1,-2.1124,-1.2443,6.9676,0.0
0,1,-2.3574,0.3973,7.1098,0.0
0,1,-2.3635,0.7763,7.1283,0.0
0,1,-2.357,0.9329,7.1142,0.0
0,1,-2.4928,1.121,6.9773,0.0
0,1,-2.0547,1.2103,7.0201,0.0
0,2,-1.1355,-1.2677,7.254,0.0
0,2,-1.1022,0.2085,7.4406,0.0
0,2,-1.3773,0.8124,7.4676,0.0
0,2,-1.2832,1.0624,7.4557,0.0
0,2,-1.5863,1.233,7.2438,0.0
0,2,-1.1384,1.2715,7.2834,0.0
0,3,-0.6157,-1.3083,7.2271,0.0
0,3,-0.5768,0.1972,7.4269,0.0
0,3,-0.2505,0.7984,7.5385,0.0
0,3,-0.5408,1.0441,7.4684,0.0
0,3,-0.1964,1.2347,7.4369,0.0
0,3,-0.1898,1.2997,7.3258,0.0
0,4,0.6222,-1.3038,7.1921,0.0
0,4,0.6092,0.199,7.3885,0.0
0,4,0.2774,0.7985,7.5244,0.0
0,4,0.5668,1.0398,7.4308,0.0
0,4,0.2152,1.2385,7.4193,0.0
0,4,0.208,1.3067,7.3204,0.0
0,5,1.1506,-1.2647,7.1881,0.0
0,5,1.1282,0.1988,7.3666,0.0
0,5,1.3943,0.8075,7.3867,0.0
0,5,1.3048,1.0574,7.3834,0.0
0,5,1.5988,1.2356,7.1446,0.0
0,5,1.1546,1.2735,7.2154,0.0
0,6,2.0512,-1.2589,6.8617,0.0
0,6,2.1287,0.4731,7.0385,0.0
0,6,2.5304,0.8409,6.9263,0.0
0,6,2.3482,0.9761,6.9671,0.0
0,6,2.1444,1.1276,6.9584,0.0
0,6,2.0407,1.206,6.9194,0.0
0,7,2.9965,-1.1818,6.3578,0.0
0,7,3.2291,0.3851,6.3517,0.0
0,7,3.2443,0.6677,6.3571,0.0
0,7,3.2074,0.8838,6.3594,0.0
0,7,3.4237,1.0095,6.0924,0.0
0,7,2.9627,1.0823,6.436,0.0
0,LE,-3.75,0.9405,6.036,0.0
0,LE,-3.0465,1.0855,6.5679,0.0
0,LE,-2.3143,1.1785,6.9556,0.0
0,LE,-1.6195,1.2461,7.1983,0.0
0,LE,-0.9249,1.2903,7.2669,0.0
0,LE,-0.2355,1.3004,7.3226,0.0
0,LE,0.0183,1.3025,7.3384,0.0
0,LE,0.2457,1.308,7.3129,0.0
0,LE,0.9387,1.2862,7.2111,0.0
0,LE,1.6275,1.2445,7.0904,0.0
0,LE,2.3361,1.1798,6.8228,0.0
0,LE,3.0323,1.0773,6.3729,0.0
0,LE,3.6883,0.943,5.8171,0.0
1,0,-2.9997,-1.1764,6.5492,0.0333
1,0,-3.2639,0.3814,6.5381,0.0333
1,0,-3.2477,0.6729,6.5653,0.0333
1,0,-3.0534,0.8897,6.7227,0.0333
1,0,-3.2224,0.9993,6.5047,0.0333
1,0,-2.9799,1.0925,6.6236,0.0333
1,1,-2.1091,-1.2449,6.9629,0.0333
1,1,-2.3628,0.3903,7.1044,0.0333
1,1,-2.3668,0.7723,7.1236,0.0333
1,1,-2.355,0.9241,7.1119,0.0333
1,1,-2.5036,1.1199,6.983,0.0333
1,1,-2.0496,1.2119,7.0161,0.0333
1,2,-1.1365,-1.2668,7.2516,0.0333
1,2,-1.1037,0.199,7.4376,0.0333
1,2,-1.3738,0.819,7.4754,0.0333
1,2,-1.2877,1.0553,7.4507,0.0333
1,2,-1.5917,1.2321,7.2495,0.0333
1,2,-1.1441,1.2729,7.2787,0.0333
1,3,-0.613,-1.3112,7.2194,0.0333
1,3,-0.5857,0.1984,7.4148,0.0333
1,3,-0.2492,0.8061,7.5335,0.0333
1,3,-0.5474,1.0466,7.4786,0.0333
1,3,-0.1996,1.2334,7.4371,0.0333
1,3,-0.1822,1.2995,7.3319,0.0333
1,4,0.6306,-1.3043,7.1816,0.0333
1,4,0.6069,0.1941,7.3841,0.0333
1,4,0.2745,0.7989,7.5204,0.0333
1,4,0.5718,1.0441,7.4332,0.0333
1,4,0.2217,1.2354,7.4229,0.0333
1,4,0.2051,1.305,7.3203,0.0333
1,5,1.1579,-1.258,7.1816,0.0333
1,5,1.1266,0.2005,7.3729,0.0333
1,5,1.4015,0.8129,7.3751,0.0333
1,5,1.3128,1.0602,7.3719,0.0333
1,5,1.5984,1.2342,7.1462,0.0333
1,5,1.1543,1.2768,7.2153,0.0333
1,6,2.0492,-1.2442,6.8363,0.0333
1,6,2.127,0.4773,7.038,0.0333
1,6,2.5282,0.8379,6.9184,0.0333
1,6,2.3547,0.9652,6.9648,0.0333
1,6,2.1467,1.1282,6.9481,0.0333
1,6,2.0333,1.2094,6.916,0.0333
1,7,2.9962,-1.1681,6.3436,0.0333
1,7,3.2372,0.3928,6.3461,0.0333
1,7,3.2379,0.6733,6.3468,0.0333
1,7,3.2126,0.8822,6.3467,0.0333
1,7,3.4108,1.0081,6.0803,0.0333
1,7,2.9715,1.0977,6.4186,0.0333
